Brand,Year,Kilometers_Driven,Fuel_Type,Transmission,Engine_CC,Mileage_kmpl,Seats,Owner_Count,Selling_Price
Volkswagen,2021,55138,Petrol,Manual,1312.0,13.3,7,2,2151000
Honda,2014,59061,Petrol,Manual,2571.0,21.9,5,2,1865000
Kia,2025,106376,Diesel,Automatic,1748.0,18.7,5,1,2935000
Mahindra,2013,84134,Petrol,Manual,2011.0,24.2,5,1,1592000
Ford,2023,52055,Petrol,Manual,1729.0,18.9,7,4,2252000
Volkswagen,2012,24508,Petrol,Manual,2339.0,18.6,7,1,1730000
Tata,2018,115169,Electric,Manual,1712.0,13.1,5,1,1990000
Maruti,2018,13125,Diesel,Automatic,1443.0,12.7,5,1,2132000
Honda,2023,41059,Diesel,Manual,1226.0,24.7,5,1,2477000
Skoda,2013,108409,Petrol,Manual,1301.0,15.2,8,1,1010000
Ford,2018,153159,Diesel,Manual,1529.0,16.0,6,3,1582000
Mahindra,2024,10704,Petrol,Manual,2083.0,22.2,5,2,2855000
Ford,2019,116279,Diesel,Manual,2336.0,15.4,5,1,2236000
Volkswagen,2012,123516,CNG,Manual,870.0,25.2,5,3,977000
Toyota,2020,119044,Diesel,Automatic,1277.0,21.8,8,1,2301000
Maruti,2018,34165,CNG,Manual,2001.0,19.6,5,1,2080000
Maruti,2014,72203,Diesel,Manual,1256.0,24.1,5,1,1372000
Skoda,2019,9114,Petrol,Manual,988.0,10.8,5,2,1601000
Toyota,2018,41321,CNG,Automatic,1090.0,14.1,7,1,2071000
Kia,2022,78297,Petrol,Manual,2343.0,17.4,7,1,2892000
Hyundai,2026,101652,Diesel,Automatic,2588.0,13.6,6,2,3101000
Honda,2024,104304,Petrol,Manual,1719.0,21.9,5,2,2481000
Maruti,2019,22772,Petrol,Automatic,1091.0,24.7,7,2,2259000
Tata,2017,108754,Petrol,Manual,1555.0,16.8,5,1,1714000
Maruti,2020,8712,Petrol,Automatic,2458.0,15.5,5,1,2689000
Ford,2026,137439,Petrol,Manual,2106.0,25.4,5,1,2737000
Maruti,2016,120142,Diesel,Automatic,2367.0,17.1,8,1,2130000
Maruti,2014,96736,Petrol,Manual,1176.0,17.8,5,3,963000
Hyundai,2014,56924,Petrol,Manual,2481.0,15.6,7,1,1780000
Hyundai,2012,8726,Diesel,Manual,1979.0,24.6,7,1,1747000
Mahindra,2023,94152,Petrol,Manual,1307.0,19.1,5,2,2130000
Kia,2026,32723,Diesel,Automatic,2236.0,22.2,5,1,3325000
Tata,2019,131969,Diesel,Manual,1327.0,23.0,5,1,1705000
Maruti,2013,105494,CNG,Manual,2178.0,15.5,5,2,1551000
Maruti,2014,145180,Diesel,Manual,1358.0,16.9,5,2,1312000
Honda,2019,40643,Petrol,Manual,2586.0,23.6,4,2,2267000
Hyundai,2025,108896,Diesel,Automatic,2010.0,15.8,7,1,3080000
Tata,2019,144999,Petrol,Automatic,1854.0,22.7,8,1,2022000
Skoda,2025,98680,Petrol,Automatic,1059.0,25.1,5,2,2629000
Mahindra,2022,101546,Diesel,Manual,1220.0,20.0,5,1,2184000
Kia,2015,158515,Petrol,Manual,2352.0,21.9,4,1,1803000
Toyota,2015,84973,Diesel,Automatic,2374.0,22.9,7,3,2136000
Kia,2016,68449,Diesel,Manual,1103.0,23.5,7,1,1888000
Ford,2017,114834,CNG,Manual,1741.0,16.3,5,2,1516000
Maruti,2016,30537,CNG,Manual,1862.0,10.8,5,1,1840000
Mahindra,2025,82576,Petrol,Manual,2312.0,16.4,7,1,3105000
Ford,2026,112522,Petrol,Manual,2467.0,20.8,5,1,3103000
Tata,2018,27612,Diesel,Automatic,1341.0,17.2,4,2,2240000
Toyota,2013,11471,Petrol,Manual,2493.0,22.0,5,1,1919000
Hyundai,2018,36348,Diesel,Manual,2101.0,15.7,5,1,2314000
Mahindra,2021,6177,Diesel,Manual,2026.0,20.2,5,2,2541000
Mahindra,2018,140832,Diesel,Manual,1889.0,13.0,7,2,2049000
Maruti,2012,37779,Petrol,Manual,907.0,22.0,7,3,1017000
Volkswagen,2018,26636,Petrol,Automatic,1067.0,18.7,5,1,1855000
Mahindra,2016,86889,Petrol,Automatic,1021.0,13.3,7,1,1710000
Honda,2014,58551,Petrol,Manual,2353.0,14.7,5,3,1593000
Toyota,2024,147628,CNG,Automatic,1913.0,22.0,7,2,2627000
Toyota,2014,147635,Petrol,Automatic,1492.0,17.7,5,1,1392000
Honda,2015,51819,Petrol,Automatic,1054.0,13.5,7,1,1622000
Skoda,2024,78770,Petrol,Automatic,2278.0,25.5,7,2,3236000
Honda,2023,83714,Diesel,Manual,1052.0,21.4,5,1,2307000
Honda,2013,29596,Diesel,Manual,1056.0,25.3,7,2,1592000
Toyota,2013,69106,Petrol,Manual,1182.0,16.8,7,1,1170000
Kia,2012,64182,Petrol,Manual,1241.0,17.6,7,1,1184000
Toyota,2026,92163,Petrol,Automatic,1398.0,24.4,5,2,2780000
Volkswagen,2016,44310,Petrol,Manual,1913.0,18.4,7,1,1964000
Maruti,2015,61088,Diesel,Automatic,2572.0,21.3,7,1,2306000
Ford,2022,133803,Diesel,Automatic,1189.0,14.0,5,1,2196000
Kia,2021,144978,Petrol,Automatic,1381.0,17.1,7,1,2139000
Hyundai,2026,41914,Petrol,Automatic,1867.0,12.0,4,2,2880000
Ford,2013,115350,Electric,Manual,2535.0,13.3,5,2,1720000
Maruti,2014,50379,Petrol,Manual,2487.0,10.0,5,2,1563000
Volkswagen,2018,51413,Diesel,Manual,1397.0,10.6,5,1,1814000
Volkswagen,2018,142084,Petrol,Manual,818.0,25.6,5,1,1526000
Hyundai,2023,12151,Petrol,Manual,1924.0,13.9,4,1,2584000
Kia,2015,62716,Petrol,Manual,1406.0,20.6,8,3,1450000
Skoda,2016,98747,Petrol,Automatic,2589.0,23.4,4,2,2209000
Honda,2016,149539,Electric,Manual,2180.0,18.8,5,2,1898000
Kia,2017,126999,Petrol,Manual,2365.0,12.5,4,1,2100000
Skoda,2025,119793,Petrol,Manual,2584.0,21.6,5,1,2880000
Volkswagen,2020,113177,Petrol,Manual,832.0,19.6,7,1,1736000
Toyota,2013,17289,Petrol,Manual,2052.0,21.7,6,1,2115000
Maruti,2016,159243,Petrol,Automatic,2347.0,22.3,7,1,1930000
Hyundai,2023,91365,Petrol,Manual,2453.0,25.6,4,3,2538000
Maruti,2014,119014,Diesel,Automatic,1661.0,19.2,5,1,1662000
Tata,2015,77588,Petrol,Manual,954.0,15.5,5,1,986000
Tata,2021,68646,Petrol,Automatic,2246.0,20.4,5,1,2586000
Kia,2017,8654,CNG,Manual,1704.0,11.1,5,3,2044000
Volkswagen,2023,23743,Petrol,Manual,2069.0,24.4,7,1,2718000
Volkswagen,2019,53368,Electric,Manual,1204.0,11.9,5,2,1713000
Honda,2012,142513,Petrol,Automatic,1643.0,15.2,7,3,1013000
Honda,2021,124735,CNG,Manual,2582.0,23.1,5,1,2736000
Honda,2025,124891,Diesel,Manual,2364.0,19.6,5,2,3017000
Toyota,2019,112971,Diesel,Automatic,1984.0,16.3,5,1,2244000
Ford,2022,17149,Electric,Automatic,1546.0,17.6,5,1,2778000
Mahindra,2025,105102,Petrol,Manual,2525.0,23.7,7,2,3221000
Ford,2018,64189,Electric,Automatic,1940.0,15.4,5,2,2467000
Maruti,2012,157747,Petrol,Manual,1070.0,23.9,5,1,884000
Ford,2013,76031,Petrol,Manual,1569.0,11.4,8,1,940000
Toyota,2014,47668,Petrol,Manual,2515.0,22.4,5,1,1931000
Maruti,2012,149745,Diesel,Automatic,2310.0,23.6,5,1,1585000
Ford,2025,93204,Petrol,Automatic,971.0,12.9,5,1,2301000
Toyota,2020,159741,Diesel,Manual,1073.0,16.9,5,1,1800000
Mahindra,2019,145507,Diesel,Manual,1058.0,12.6,7,1,1842000
Ford,2013,42384,Diesel,Manual,1958.0,21.3,7,2,1834000
Toyota,2024,86929,Diesel,Automatic,2506.0,18.6,8,1,3113000
Honda,2020,132959,Petrol,Automatic,2545.0,20.2,5,1,2673000
Volkswagen,2018,81153,Petrol,Manual,2571.0,13.1,5,1,2269000
Honda,2020,80388,Petrol,Automatic,1221.0,13.4,7,2,2027000
Volkswagen,2017,36401,Petrol,Automatic,2244.0,10.7,5,1,2268000
Hyundai,2017,124503,Petrol,Manual,2009.0,15.2,5,1,1811000
Hyundai,2022,132834,Petrol,Manual,1163.0,19.0,5,1,2256000
Hyundai,2025,39084,Petrol,Manual,2430.0,23.7,5,2,2872000
Mahindra,2015,115641,Electric,Manual,1177.0,20.7,5,1,1509000
Honda,2021,110111,Diesel,Manual,2346.0,17.0,7,2,2523000
Volkswagen,2021,143299,Petrol,Manual,1379.0,25.2,7,3,2098000
Toyota,2024,41041,Diesel,Automatic,1690.0,21.5,5,2,3011000
Maruti,2024,93920,Petrol,Manual,1521.0,24.9,5,2,2437000
Toyota,2013,70681,Petrol,Manual,2019.0,18.4,5,1,1444000
Maruti,2018,86571,Diesel,Automatic,1680.0,14.1,7,1,2186000
Tata,2016,132556,Petrol,Automatic,1921.0,10.8,5,4,1586000
Toyota,2022,31160,Petrol,Manual,1404.0,21.6,7,1,2282000
Ford,2017,22633,Electric,Manual,821.0,11.9,5,1,1656000
Ford,2013,22014,CNG,Manual,2273.0,14.8,5,2,1442000
Kia,2016,85532,Diesel,Manual,1995.0,18.5,5,1,1844000
Honda,2021,54104,Diesel,Manual,1182.0,19.0,7,1,2146000
Maruti,2015,82231,Diesel,Manual,933.0,19.6,5,1,1429000
Maruti,2020,73388,Petrol,Automatic,2249.0,12.7,5,1,2395000
Honda,2017,21014,Petrol,Manual,1848.0,16.1,5,2,1760000
Mahindra,2013,97578,Petrol,Manual,1302.0,19.9,7,1,1413000
Kia,2012,45390,Petrol,Automatic,2008.0,25.5,7,1,1655000
Mahindra,2016,28711,Diesel,Manual,1908.0,21.6,5,1,2058000
Mahindra,2020,96658,Petrol,Manual,2390.0,24.8,7,2,2408000
Mahindra,2017,62993,Electric,Automatic,2586.0,22.2,5,2,2510000
Honda,2021,12421,CNG,Manual,943.0,19.5,5,1,2175000
Mahindra,2023,22727,Diesel,Automatic,2502.0,13.1,5,2,3014000
Ford,2018,117418,Diesel,Automatic,2235.0,20.7,5,1,2419000
Hyundai,2016,9358,CNG,Automatic,1023.0,20.0,7,3,1681000
Tata,2021,70108,Petrol,Automatic,1019.0,19.6,7,1,2211000
Maruti,2017,99018,Diesel,Manual,978.0,17.8,5,2,1384000
Maruti,2016,129457,Petrol,Manual,2454.0,18.5,5,1,1918000
Tata,2022,36910,Diesel,Manual,1232.0,15.4,7,1,2379000
Honda,2020,131888,Petrol,Manual,1064.0,18.3,7,1,1853000
Toyota,2026,60754,CNG,Manual,1753.0,13.2,5,3,2498000
Honda,2017,114847,Electric,Manual,1228.0,22.9,7,1,1976000
Maruti,2022,43467,Petrol,Automatic,2485.0,13.0,5,3,2668000
Maruti,2019,153697,Petrol,Manual,1215.0,11.4,5,1,1461000
Tata,2013,38893,Electric,Manual,2276.0,17.0,7,1,1835000
Mahindra,2023,81329,Petrol,Manual,1526.0,20.5,5,1,2580000
Honda,2024,36007,,Manual,996.0,17.0,5,2,2363000
Volkswagen,2020,59253,Diesel,Manual,2377.0,14.4,5,1,2459000
Tata,2016,17323,Petrol,Manual,1876.0,18.9,7,3,1719000
Ford,2018,116335,Petrol,Manual,1279.0,15.6,7,3,1459000
Maruti,2021,117356,Petrol,Manual,2266.0,24.9,5,3,2482000
Tata,2024,115944,Diesel,Automatic,2153.0,24.8,5,1,2944000
Honda,2012,150282,Petrol,Automatic,2074.0,18.0,5,2,1306000
Maruti,2021,21456,Petrol,Manual,1689.0,15.2,5,2,2265000
Toyota,2016,36367,Petrol,Manual,1724.0,21.8,5,1,1824000
Tata,2023,59624,Diesel,Automatic,922.0,10.6,7,2,2424000
Kia,2025,146178,CNG,Automatic,2210.0,17.6,5,1,3067000
Maruti,2021,73008,Electric,Manual,2162.0,15.4,5,1,2532000
Honda,2025,130926,Petrol,Automatic,1577.0,24.7,5,1,2651000
Hyundai,2013,120395,Diesel,Manual,1147.0,10.2,5,1,715000
Volkswagen,2023,121492,Diesel,Automatic,828.0,18.8,7,1,2120000
Skoda,2017,77240,Diesel,Automatic,1774.0,21.9,5,1,1959000
Mahindra,2022,69315,Electric,Manual,834.0,17.8,5,2,2165000
Skoda,2012,15756,Petrol,Automatic,2341.0,11.4,5,1,1700000
Honda,2014,41378,Petrol,Manual,2219.0,25.6,5,1,1751000
Ford,2016,140327,CNG,Automatic,1422.0,18.3,4,1,1554000
Ford,2015,150556,Petrol,Manual,2117.0,19.8,5,1,1686000
Hyundai,2014,130703,CNG,Automatic,1388.0,13.8,5,2,1343000
Mahindra,2021,61549,CNG,Manual,2172.0,17.7,5,1,2266000
Kia,2024,78794,Petrol,Manual,1970.0,16.9,5,2,2594000
Hyundai,2016,50113,CNG,Manual,1890.0,11.2,5,1,1604000
Skoda,2022,79069,Petrol,Automatic,1703.0,11.7,8,2,2442000
Hyundai,2019,141321,Petrol,Automatic,1319.0,23.4,5,1,2018000
Skoda,2022,155273,Diesel,Automatic,921.0,13.8,5,1,1909000
Maruti,2015,130541,CNG,Automatic,1139.0,13.1,5,2,1154000
Ford,2012,14686,Petrol,Manual,974.0,18.1,5,1,1023000
Maruti,2022,58363,Petrol,Manual,2514.0,22.3,7,2,2501000
Volkswagen,2018,102543,Diesel,Manual,1396.0,11.0,5,2,1706000
Mahindra,2019,136733,Diesel,Manual,1250.0,19.2,7,1,1865000
Kia,2014,100673,Diesel,Manual,1356.0,11.9,4,1,1439000
Skoda,2017,47828,Petrol,Manual,1959.0,10.6,5,1,1776000
Kia,2013,53604,Petrol,Manual,1839.0,10.8,7,3,1315000
Skoda,2018,15526,Petrol,Manual,2156.0,23.3,5,2,2092000
Honda,2026,73910,Diesel,Manual,2018.0,11.9,5,1,2781000
Hyundai,2019,30592,Petrol,Manual,2319.0,10.7,5,1,2126000
Volkswagen,2017,33982,Petrol,Automatic,808.0,17.0,7,1,1859000
Ford,2017,5207,Electric,Automatic,1133.0,23.5,5,2,1956000
Skoda,2016,93733,Petrol,Automatic,2156.0,14.2,7,1,2069000
Kia,2019,129982,Electric,Manual,1816.0,16.7,5,1,2153000
Volkswagen,2012,73619,Diesel,Manual,1126.0,10.6,7,3,847000
Toyota,2021,51479,Diesel,Automatic,814.0,17.2,5,1,2140000
Toyota,2015,156175,Petrol,Manual,1638.0,19.2,7,1,1666000
Maruti,2026,146826,Petrol,Manual,2437.0,19.1,5,3,2637000
Ford,2015,86437,Diesel,Manual,1025.0,15.3,7,2,1424000
Honda,2014,103540,Diesel,Manual,2248.0,15.0,5,1,1620000
Kia,2014,77982,Diesel,Manual,2231.0,11.7,5,1,1674000
Hyundai,2015,107747,Petrol,Manual,912.0,15.9,5,1,1239000
Hyundai,2022,53231,Diesel,Manual,2251.0,11.6,5,1,2512000
Kia,2012,34301,Diesel,Manual,800.0,22.3,5,3,1032000
Mahindra,2025,23752,Diesel,Manual,1065.0,25.5,7,1,2727000
Honda,2022,103452,Diesel,Automatic,2314.0,25.5,8,2,2808000
Volkswagen,2024,149467,CNG,Manual,2031.0,23.8,5,3,2257000
Skoda,2022,126237,Diesel,Manual,2445.0,19.6,7,1,2547000
Mahindra,2013,61273,Petrol,Automatic,2535.0,21.2,5,1,2020000
Skoda,2020,96878,Petrol,Manual,1751.0,14.6,5,1,2218000
Skoda,2021,9895,Petrol,Manual,2192.0,20.1,7,3,2485000
Mahindra,2013,124968,Petrol,Manual,1105.0,17.3,6,2,950000
Maruti,2016,120700,Petrol,Manual,811.0,17.7,8,1,1247000
Toyota,2020,81559,Petrol,Manual,2168.0,22.1,5,2,2460000
Skoda,2020,15699,Petrol,Automatic,2288.0,14.5,6,1,2357000
Mahindra,2019,14715,Petrol,Manual,2523.0,15.1,5,3,2223000
Mahindra,2012,24169,Diesel,Manual,2489.0,24.8,5,1,1857000
Tata,2012,123413,Electric,Manual,2317.0,10.9,4,1,1641000
Maruti,2020,152235,Petrol,Manual,2191.0,17.8,8,3,2320000
Ford,2024,124264,Electric,Manual,1736.0,24.6,7,1,2813000
Tata,2022,10782,Diesel,Manual,1219.0,19.8,7,1,2266000
Tata,2019,129481,Petrol,Manual,1688.0,18.7,5,1,1953000
Kia,2021,40585,Petrol,Manual,970.0,14.0,5,1,2133000
Toyota,2020,35682,Petrol,Manual,933.0,15.5,5,1,1935000
Mahindra,2018,134992,Diesel,Manual,1764.0,23.6,5,3,1745000
Toyota,2014,89416,Diesel,Automatic,2250.0,18.9,5,1,2091000
Honda,2014,132810,Petrol,Manual,1848.0,18.2,7,1,1640000
Kia,2013,43067,Petrol,Manual,2353.0,11.6,5,2,1489000
